#author_pub_id	num_cofirsts	correspondence_indices
XLVldUsAAAAJ:WbkHhVStYXYC	2	
XLVldUsAAAAJ:738O_yMBCRsC	1	
XLVldUsAAAAJ:XiSMed-E-HIC	1	
XLVldUsAAAAJ:SP6oXDckpogC	1	
XLVldUsAAAAJ:Tiz5es2fbqcC	1	
XLVldUsAAAAJ:uWQEDVKXjbEC	1	
XLVldUsAAAAJ:EUQCXRtRnyEC	2	
XLVldUsAAAAJ:CHSYGLWDkRkC	1	
XLVldUsAAAAJ:xtRiw3GOFMkC	1	
XLVldUsAAAAJ:_xSYboBqXhAC	2	
XLVldUsAAAAJ:a0OBvERweLwC	1	
XLVldUsAAAAJ:f2IySw72cVMC	1	
XLVldUsAAAAJ:abG-DnoFyZgC	2	
XLVldUsAAAAJ:yD5IFk8b50cC	1	
XLVldUsAAAAJ:D03iK_w7-QYC	1	
XLVldUsAAAAJ:fPk4N6BV_jEC	1	
XLVldUsAAAAJ:dfsIfKJdRG4C	1	
XLVldUsAAAAJ:4OULZ7Gr8RgC	1	
XLVldUsAAAAJ:bFI3QPDXJZMC	1	
XLVldUsAAAAJ:u_35RYKgDlwC	1	
XLVldUsAAAAJ:SeFeTyx0c_EC	1	
XLVldUsAAAAJ:ZHo1McVdvXMC	1	
XLVldUsAAAAJ:d1gkVwhDpl0C	1	
XLVldUsAAAAJ:u-x6o8ySG0sC	2	
XLVldUsAAAAJ:3s1wT3WcHBgC	1	
XLVldUsAAAAJ:u5HHmVD_uO8C	1	
XLVldUsAAAAJ:l7t_Zn2s7bgC	1	
XLVldUsAAAAJ:08ZZubdj9fEC	3	
XLVldUsAAAAJ:vRqMK49ujn8C	1	
XLVldUsAAAAJ:tS2w5q8j5-wC	1	
