author_pub_id	title	author	journal	conference	volume	number	pages	pub_year	pub_url
XLVldUsAAAAJ:WbkHhVStYXYC	Cell segmentation-free inference of cell types from in situ transcriptomics data	Jeongbin Park and Wonyl Choi and Sebastian Tiesmeyer and Brian Long and Lars E Borm and Emma Garren and Thuc Nghi Nguyen and Bosiljka Tasic and Simone Codeluppi and Tobias Graf and Matthias Schlesner and Oliver Stegle and Roland Eils and Naveed Ishaque	Nature Communications		12		3545	2021	https://www.nature.com/articles/s41467-021-23807-4
XLVldUsAAAAJ:738O_yMBCRsC	Functional States in Tumor-Initiating Cell Differentiation in Human Colorectal Cancer	Martina K Zowada and Stephan M Tirier and Sebastian M Dieter and Teresa G Krieger and Ava Oberlack and Robert Lorenz Chua and Mario Huerta and Foo Wei Ten and Karin Laaber and Jeongbin Park and Katharina Jechow and Torsten Müller and Mathias Kalxdorf and Mark Kriegsmann and Katharina Kriegsmann and Friederike Herbst and Jeroen Krijgsveld and Martin Schneider and Roland Eils and Hanno Glimm and Christian Conrad and Claudia R Ball	Cancers		13	5	1097	2021	https://www.mdpi.com/1020628
XLVldUsAAAAJ:XiSMed-E-HIC	Transcriptional heterogeneity identifies functional states of tumor-initiating cell differentiation in human colorectal cancer	Martina K Zowada and Stephan M Tirier and Sebastian M Dieter and Teresa Krieger and Ava Oberlack and Robert L Chua and Mario Huerta and Foo Wei Ten and Karin Laaber and Jeongbin Park and Katharina Jechow and Torsten Müller and Mathias Kalxdorf and Mark Kriegsmann and Katharina Kriegsmann and Friederike Herbst and Jeroen Krijgsveld and Martin Schneider and Roland Eils and Hanno Glimm and Christian Conrad and Claudia R Ball		Cancer Research	80	16 Supplement	Abstract nr. 1491	2020	https://cancerres.aacrjournals.org/content/80/16_Supplement/1491.short
XLVldUsAAAAJ:SP6oXDckpogC	Modeling glioblastoma invasion using human brain organoids and single-cell transcriptomics	Teresa G Krieger and Stephan M Tirier and Jeongbin Park and Katharina Jechow and Tanja Eisemann and Heike Peterziel and Peter Angel and Roland Eils and Christian Conrad	Neuro-oncology				noaa091	2020	https://academic.oup.com/neuro-oncology/article-abstract/22/8/1138/5820825
XLVldUsAAAAJ:Tiz5es2fbqcC	ShinyButchR: Interactive NMF-based decomposition workflow of genome-scale datasets	Andres Quintero and Daniel Hübschmann and Nils Kurzawa and Sebastian Steinhauser and Philipp Rentzsch and Stephen Krämer and Carolin Andresen and Jeongbin Park and Roland Eils and Matthias Schlesner and Carl Herrmann	Biology Methods and Protocols		5	1	bpaa022	2020	https://academic.oup.com/biomethods/article-abstract/5/1/bpaa022/5942966
XLVldUsAAAAJ:uWQEDVKXjbEC	pheno-seq–linking visual features and gene expression in 3D cell culture systems	Stephan M Tirier and Jeongbin Park and Friedrich Preußer and Lisa Amrhein and Zuguang Gu and Simon Steiger and Jan-Philipp Mallm and Teresa Krieger and Marcel Waschow and Björn Eismann and Marta Gut and Ivo G Gut and Karsten Rippe and Matthias Schlesner and Fabian Theis and Christiane Fuchs and Claudia R Ball and Hanno Glimm and Roland Eils and Christian Conrad	Scientific Reports		9		12367	2019	https://www.nature.com/articles/s41598-019-48771-4
XLVldUsAAAAJ:EUQCXRtRnyEC	Web-based design and analysis tools for CRISPR base editing	Gue-Ho Hwang and Jeongbin Park and Kayeong Lim and Sunghyun Kim and Jihyeon Yu and Eunchong Yu and Sang-Tae Kim and Roland Eils and Jin-Soo Kim and Sangsu Bae	BMC Bioinformatics		19		542	2018	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-018-2585-4?optIn=true
XLVldUsAAAAJ:CHSYGLWDkRkC	IG-MYC+ neoplasms with precursor B-cell phenotype are molecularly distinct from Burkitt lymphomas	Rabea Wagener and Cristina López and Kortine Kleinheinz and Julia Bausinger and Sietse M Aukema and Inga Nagel and Umut H Toprak and Julian Seufert and Janine Altmüller and Holger Thiele and Christof Schneider and Julia Kolarova and Jeongbin Park and Daniel Hübschmann and Eva M Murga Penas and Hans G Drexler and Andishe Attarbaschi and Randi Hovland and Eigil Kjeldsen and Michael Kneba and Udo Kontny and Laurence De Leval and Peter Nürnberg and Ilske Oschlies and David Oscier and Brigitte Schlegelberger and Stephan Stilgenbauer and Wilhelm Wössmann and Matthias Schlesner and Birgit Burkhardt and Wolfram Klapper and Elaine S Jaffe and Ralf Küppers and Reiner Siebert	Blood		132	21	2280-2285	2018	https://ashpublications.org/blood/article-abstract/132/21/2280/39527
XLVldUsAAAAJ:xtRiw3GOFMkC	IG-MYC-positive leukemia and lymphoma with precursor B-cell phenotype are genetically and epigenetically distinct from Burkitt lymphomas	Cristina Lopez and Rabea Wagener and Kortine Kleinheinz and Julia Bausinger and Sietse M Aukema and Inga Nagel and Umut H Toprak and Julian Seufert and Janine Altmueller and Holger Thiele and Christof Schneider and Julia Kolarova and Jeongbin Park and Daniel Huebschmann and Eva M Murga Penas and Hans G Drexler and Andishe Attarbaschi and Randi Hovland and Eigil Kjeldsen and Michael Kneba and Udo Kontny and Laurence de Leval and Peter Nuernberg and Ilske Oschlies and David Oscier and Brigitte Schlegelberger and Stephan Stilgenbauer and Wilhelm Woessmann and Matthias Schlesner and Birgit Burkhardt and Wolfram Klapper and Elaine S Jaffe and Ralf Kueppers and Reiner Siebert		British Journal of Haematology	182	S1	19-21, Abstract nr. 23	2018	https://onlinelibrary.wiley.com/doi/10.1111/bjh.15536
XLVldUsAAAAJ:_xSYboBqXhAC	Response to “Unexpected mutations after CRISPR–Cas9 editing in vivo”	Sang-Tae Kim and Jeongbin Park and Daesik Kim and Kyoungmi Kim and Sangsu Bae and Matthias Schlesner and Jin-Soo Kim	Nature Methods		15	4	239-240	2018	https://www.nature.com/articles/nmeth.4554
XLVldUsAAAAJ:a0OBvERweLwC	Cpf1-Database: web-based genome-wide guide RNA library design for gene knockout screens using CRISPR-Cpf1	Jeongbin Park and Sangsu Bae	Bioinformatics		34	6	1077-1079	2018	https://academic.oup.com/bioinformatics/article-abstract/34/6/1077/4665414
XLVldUsAAAAJ:f2IySw72cVMC	Methylation profiling identifies two subclasses of squamous cell carcinoma related to distinct cells of origin	Manuel Rodríguez-Paredes and Felix Bormann and Günter Raddatz and Julian Gutekunst and Carlota Lucena-Porcel and Florian Köhler and Elisabeth Wurzer and Katrin Schmidt and Stefan Gallinat and Horst Wenck and Joachim Röwert-Huber and Evgeniya Denisova and Lars Feuerbach and Jeongbin Park and Benedikt Brors and Esther Herpel and Ingo Nindl and Thomas G Hofmann and Marc Winnefeld and Frank Lyko	Nature Communications		9		577	2018	https://www.nature.com/articles/s41467-018-03025-1
XLVldUsAAAAJ:abG-DnoFyZgC	HTSlib-js: developer toolkit for a client-side JavaScript interface for HTSlib	Jeongbin Park and Liam H Childs and Matthias Schlesner and Roland Eils	bioRxiv				397935	2018	https://www.biorxiv.org/content/10.1101/397935v1.abstract
XLVldUsAAAAJ:yD5IFk8b50cC	RAS-pathway mutation patterns define epigenetic subclasses in juvenile myelomonocytic leukemia	Daniel B Lipka and Tania Witte and Reka Toth and Jing Yang and Manuel Wiesenfarth and Peter Nöllke and Alexandra Fischer and David Brocks and Zuguang Gu and Jeongbin Park and Brigitte Strahm and Marcin Wlodarski and Ayami Yoshimi and Rainer Claus and Michael Lübbert and Hauke Busch and Melanie Boerries and Mark Hartmann and Maximilian Schönung and Umut Kilik and Jens Langstein and Justyna A Wierzbinska and Caroline Pabst and Swati Garg and Albert Catalá and Barbara De Moerloose and Michael Dworzak and Henrik Hasle and Franco Locatelli and Riccardo Masetti and Markus Schmugge and Owen Smith and Jan Stary and Marek Ussowicz and Marry M Van Den Heuvel-Eibrink and Yassen Assenov and Matthias Schlesner and Charlotte Niemeyer and Christian Flotho and Christoph Plass	Nature Communications		8		2126	2017	https://www.nature.com/articles/s41467-017-02177-w
XLVldUsAAAAJ:D03iK_w7-QYC	Screening drug effects in patient‐derived cancer cells links organoid responses to genome alterations	Julia Jabs and Franziska M Zickgraf and Jeongbin Park and Steve Wagner and Xiaoqi Jiang and Katharina Jechow and Kortine Kleinheinz and Umut H Toprak and Marc A Schneider and Michael Meister and Saskia Spaich and Marc Sütterlin and Matthias Schlesner and Andreas Trumpp and Martin Sprick and Roland Eils and Christian Conrad	Molecular Systems Biology		13		955	2017	https://www.embopress.org/doi/abs/10.15252/msb.20177697
XLVldUsAAAAJ:fPk4N6BV_jEC	CRISPR/Cas9-mediated gene knockout screens and target identification via whole-genome sequencing uncover host genes required for picornavirus infection	Heon Seok Kim and Kyungjin Lee and Sangsu Bae and Jeongbin Park and Chong-Kyo Lee and Meehyein Kim and Eunji Kim and Minju Kim and Seokjoong Kim and Chonsaeng Kim and Jin-Soo Kim	Journal of Biological Chemistry		292	25	10664-10671	2017	https://www.sciencedirect.com/science/article/pii/S0021925820396034
XLVldUsAAAAJ:dfsIfKJdRG4C	Digenome-seq web tool for profiling CRISPR specificity	Jeongbin Park and Liam Childs and Daesik Kim and Gue-Ho Hwang and Sunghyun Kim and Sang-Tae Kim and Jin-Soo Kim and Sangsu Bae	Nature Methods		14	6	548-549	2017	https://www.nature.com/articles/nmeth.4262
XLVldUsAAAAJ:4OULZ7Gr8RgC	Cas-analyzer: an online tool for assessing genome editing results using NGS data	Jeongbin Park and Kayeong Lim and Jin-Soo Kim and Sangsu Bae	Bioinformatics		33	2	286-288	2017	https://academic.oup.com/bioinformatics/article-abstract/33/2/286/2525673
XLVldUsAAAAJ:bFI3QPDXJZMC	Deciphering programs of transcriptional regulation by combined deconvolution of multiple omics layers	Daniel Hüebschmann and Nils Kurzawa and Sebastian Steinhauser and Philipp Rentzsch and Stephen Krämer and Carolin Andresen and Jeongbin Park and Roland Eils and Matthias Schlesner and Carl Herrmann	bioRxiv				199547	2017	https://www.biorxiv.org/content/10.1101/199547v1.abstract
