#author_pub_id	title	author	journal	conference	volume	number	pages	pub_year	pub_url	num_citations
XLVldUsAAAAJ:SdhP9T11ey4C	Reproducible and shareable bioinformatics pipelines from natural-language prompts	Hyeon-Min Kim and Hwayeon Jeong and Abyot Melkamu Mekonnen and Yeongjun Kim and Youngchul Oh and Heetak Lee and Cheulhee Jung and Jeongbin Park	bioRxiv				2026.05. 28.719125	2026	https://www.biorxiv.org/content/10.64898/2026.05.28.719125.abstract	0
XLVldUsAAAAJ:9vf0nzSNQJEC	Universal conditional knockout approach to multiple species, from fish to human induced pluripotent stem cells	Jung-Hwa Choi and Jihoon Moon and Youngchul Oh and Thomas M Klompstra and Yujin Kim and Gayoung Baek and Yejin Kwak and Yeongjun Kim and Sangmin Lee and Sujin Park and Jeongmin Ha and Ohbin Kwon and Young Ki Choi and Jeong Hun Kim and Ji-Hyun Lee and Jeongbin Park and Jong Kyoung Kim and Dong Ho Woo and Ki-Jun Yoon and Bon-Kyoung Koo and Heetak Lee	Nucleic Acids Research		54	9	gkag480	2026	https://academic.oup.com/nar/article-abstract/54/9/gkag480/8677913	0
XLVldUsAAAAJ:PELIpwtuRlgC	Lung Microphysiological System Validates Novel Cell Therapy for Acute Respiratory Distress Syndrome	Bokyong Kim and So‐Hui Kim and Jieun Kim and Eun‐Young Eo and Hyung‐Jun Kim and Jae Ho Lee and Choon‐Taek Lee and Taeho Kong and Su Kyoung Seo and Seunghee Lee and Jeongbin Park and Young‐Jae Cho	Advanced Biology		10	1	e00225	2026	https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adbi.202500225	2
XLVldUsAAAAJ:_B80troHkn4C	Towards a transparent and reproducible AI-assisted research paper writing	Jeongbin Park	Genomics & Informatics		23	1	26	2025	https://link.springer.com/article/10.1186/s44342-025-00057-0	7
XLVldUsAAAAJ:WA5NYHcadZ8C	READRetro web: A user-friendly platform for predicting plant natural product biosynthesis	Yejin Kwak and Taein Kim and Sang-Gyu Kim and Jeongbin Park	Molecules and Cells		48	8	100235	2025	https://www.sciencedirect.com/science/article/pii/S1016847825000597	4
XLVldUsAAAAJ:eq2jaN3J8jMC	Characteristics of immune checkpoint inhibitor (ICI)-related hepatotoxicity based on the baseline liver function	Won-Jung Jung and Eun-Jung Jo and Ye-Jee Kim and Mihyun Park and Eunji Kim and Yu-Seon Jung and Sook Ryun Park and Ji Seon Oh and So-Hui Kim and Jeongbin Park and Sun-Young Jung and Nakyung Jeon	Cancer research and treatment					2025	http://www.e-crt.org/journal/view.php?number=3805	1
XLVldUsAAAAJ:BrmTIyaxlBUC	From spots to cells: Cell segmentation in spatial transcriptomics with BOMS	Ocima Kamboj and Jeongbin Park and Oliver Stegle and Fred A Hamprecht	PloS one		20	6	e0311458	2025	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0311458	1
XLVldUsAAAAJ:HE397vMXCloC	The mitochondrial genome data of the Capsicum annuum cv. Dempsey (Solanaceae)	Seona Yun and Junseong Bae and Jeongbin Park and Hyeran Kim	Data in Brief				111640	2025	https://www.sciencedirect.com/science/article/pii/S235234092500366X	2
XLVldUsAAAAJ:t6usbXjVLHcC	Variant-aware Cas-OFFinder: web-based in silico variant-aware potential off-target site identification for genome editing applications	Abyot Melkamu Mekonnen and Kang Seong and Hyeran Kim and Jeongbin Park	Nucleic Acids Research				gkaf389	2025		13
XLVldUsAAAAJ:Mojj43d5GZwC	RBM39 shapes innate immunity by controlling the expression of key factors of the interferon response	Teng-Feng Li and Paul Rothhaar and Arthur Lang and Oliver Grünvogel and Ombretta Colasanti and Santa Mariela Olivera Ugarte and Jannik Traut and Antonio Piras and Nelson Acosta-Rivero and Vladimir Gonçalves Magalhães and Emely Springer and Andreas Betz and Hao-En Huang and Jeongbin Park and Ruiyue Qiu and Gnimah Eva Gnouamozi and Ann-Kathrin Mehnert and Viet Loan Dao Thi and Stephan Urban and Martina Muckenthaler and Matthias Schlesner and Dirk Wohlleber and Marco Binder and Ralf Bartenschlager and Andreas Pichlmair and Volker Lohmann	Frontiers in immunology		16		1568056	2025	https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1568056/full	3
